run_id,timestamp,status,official_navigation_seconds,verified_completion_seconds,official_wall_seconds,observed_realtime_factor,first_green_board_seconds,path_length_m,command_speed_max_mps,measured_speed_max_mps,speed_tracking_rmse_mps,mean_relative_slip,collision_events,maximum_contact_depth_m,minimum_lidar_clearance_m,final_board_error,final_wall_range_error_m,avoid_entries,dead_end_entries,recovery_entries
20260728_053249_001,2026-07-28T05:32:49.671982+08:00,INTERRUPTED,49.208000000000006,49.208000000000006,97.204094665,0.5062338183343853,,3.08218580868754e-17,0.0,2.9300945284946326e-18,7.137781144956244e-19,1.2839590309453132e-17,0,0.0,,0.0,,0,0,0
20260728_053635_001,2026-07-28T05:36:35.883661+08:00,RESET_OR_ABORTED,71.18,71.18,174.891098413,0.4069961287103967,58.04900000000001,2.8183015086396006,0.09984933419659792,0.3328311139843717,0.009556179874429293,0.08475692265898442,0,0.0,,0.0,,0,0,0
20260728_152551_001,2026-07-28T15:25:51.443931+08:00,INTERRUPTED,207.312,207.312,1474.94543388,0.14055570818958626,,11.386326184764224,0.15000000596046448,1.5000000596244405,0.02483200325761293,0.17709841151155853,1,0.00010649038736743055,0.14895716309547424,0.0,5.175820980072022,0,0,0
20260728_155614_001,2026-07-28T15:56:14.655340+08:00,INTERRUPTED,151.976,151.976,319.55164794300003,0.47559135112677836,,1.0822898322022783e-16,0.0,1.5491117875446552e-16,1.4984536227753836e-18,1.4646684086348517e-17,0,0.0,0.8355602025985718,0.0,3.3930334186553956,0,0,0
20260728_161345_001,2026-07-28T16:13:45.601864+08:00,TIMEOUT,300.069,300.069,706.0463409280001,0.42499901579491356,,30.762106779072944,0.6159211592031865,0.769901449001419,0.029249961293800957,0.02426464981812041,11,0.002938619479575577,0.08521374315023422,0.0,3.6591652965545656,0,0,0
20260728_162128_001,2026-07-28T16:21:28.235450+08:00,INTERRUPTED,180.58800000000002,180.58800000000002,340.450545767,0.5304382743553954,,11.948339705910046,0.6012241087571867,0.9704359464537881,0.029889015320741848,0.0201359876552136,9,0.00015620902785862256,,0.0,,0,0,0
20260728_162535_001,2026-07-28T16:25:35.488360+08:00,INTERRUPTED,107.33600000000001,107.33600000000001,186.959030052,0.574115088049751,,10.372724147896346,0.6351593075520698,1.114983196345076,0.04094101020959065,0.0364246080964353,1,0.00034074214719284623,,0.0,,0,0,0
20260728_163503_001,2026-07-28T16:35:03.484980+08:00,TIMEOUT,300.35900000000004,300.35900000000004,512.339928026,0.5862494480124874,,46.17842615520641,0.6146108268274079,1.1687645287141992,0.047506200224161216,0.04864878637100248,11,0.0002849330467278449,,0.0,,0,0,0
20260728_164932_001,2026-07-28T16:49:32.435048+08:00,INTERRUPTED,98.599,98.599,294.56766310200004,0.3347244533282599,,16.16503186766124,0.6282270445701932,1.060408100844231,0.056913090280806905,0.0632293278513301,0,0.0,0.4081302583217621,0.0,4.21129337310791,0,0,0
20260728_165701_001,2026-07-28T16:57:01.907083+08:00,COMPLETE,90.917,90.917,274.268713122,0.3314887759711709,63.033,31.303257975458205,0.5890372801466716,1.8036915970609717,0.10146164348106745,0.125969425309215,0,0.0,0.19503553211688995,-0.01342901960015297,0.025801930427551245,0,0,0
20260803_142932_001,2026-08-03T14:29:32.871329+08:00,INTERRUPTED,178.10000000000002,178.10000000000002,953.4389960300001,0.1867974781203475,,1.062250164131989e-16,0.0,1.1724749968108983e-17,7.838563856540068e-19,1.3300360811624174e-17,0,0.0,0.8355600237846375,0.0,3.3930331802368165,0,0,0
20260803_151651_001,2026-08-03T15:16:51.448366+08:00,TIMEOUT,300.136,300.136,1368.599222648,0.21930160052209396,,23.983040768121178,0.6113189595049118,3.056594797140679,0.07282263967969095,0.045331380879845604,3,0.0009220434785139342,0.162844717502594,0.0,0.9583412742614745,0,0,0
20260803_160441_001,2026-08-03T16:04:41.432563+08:00,COMPLETE,88.89800000000001,88.89800000000001,508.979424671,0.17465931959324865,62.211000000000006,26.939083335655997,0.598961134225773,4.551009324913706,0.12826458780445843,0.09887871230242952,1,0.0010816013511798228,0.18351636826992035,-0.014042668044567108,0.03373834848403928,0,0,0
20260813_161952_001,2026-08-13T16:19:52.455440+08:00,COMPLETE,82.858,82.858,441.816657851,0.18753933000856515,70.296,26.951066467601667,0.6012199408587917,4.810173549843456,0.14745536532290504,0.13019188006839036,0,0.0,0.3713080883026123,0.0007479211781173944,0.03133833765983579,0,0,0
20260813_175333_001,2026-08-13T17:53:33.942445+08:00,COMPLETE,75.66900000000001,75.66900000000001,372.292240413,0.2032516173747191,48.622,23.736863406260532,0.629110994928971,4.6000000000299615,0.177432431705988,0.11026318590066553,0,0.0,0.2016509771347046,-0.013648001477122307,0.026945981979370093,0,0,0
20260915_162225_001,2026-09-15T16:22:25.911082+08:00,COMPLETE,85.84100000000001,85.84100000000001,137.811474349,0.622887175436585,58.255,31.73632431072977,0.624083334837993,0.7452917755846709,0.03994093935601372,0.04248171479719786,0,0.0,0.36858490109443665,-0.015286686830222607,0.029067281484603857,0,0,0
20260915_162910_001,2026-09-15T16:29:10.317800+08:00,COMPLETE,115.85700000000001,115.85700000000001,184.636272694,0.627487753676718,78.846,40.88654045538953,0.6128792193879589,0.9010142078001804,0.042184101284457015,0.047133185044193844,3,0.0031606886297457643,0.14511409401893616,-0.013423508033156395,0.02768606305122373,0,0,0
20260915_163335_001,2026-09-15T16:33:35.174624+08:00,COMPLETE,94.506,94.506,155.13856450900002,0.6091715512458377,66.91600000000001,36.523241101987296,0.6070463172120549,0.7097147511130286,0.0380246814104522,0.03724965337947578,0,0.0,0.31423288583755493,-0.015620910562574863,0.028423342704772925,0,0,0
20260915_163743_001,2026-09-15T16:37:43.959237+08:00,COMPLETE,87.33500000000001,87.33500000000001,141.89350874500002,0.6154967959595085,57.571000000000005,29.756898541831696,0.5861430271333565,0.8567259575350993,0.0446613064724804,0.04776969491221055,2,0.00019670563142357156,0.1530388593673706,-0.01331567857414484,0.03490177154541013,0,0,0
20260915_164243_001,2026-09-15T16:42:43.893243+08:00,COMPLETE,111.29,111.29,190.97127168300003,0.5827578096915761,98.581,40.582823447973986,0.6046375793240912,0.7697854512550317,0.03415015614656837,0.035490545926824615,0,0.0,0.2642102539539337,0.0002092956128763035,0.03131464481353757,0,0,0
20260915_165209_001,2026-09-15T16:52:09.302472+08:00,TIMEOUT,300.146,300.146,455.863459432,0.6584120613088359,147.70100000000002,136.46275568944156,0.6152610370642995,0.8501574458605617,0.036154374105904136,0.0387704208262304,0,0.0,0.23852626979351044,-0.004687500186264515,3.00218430519104,0,0,0
20260915_165905_001,2026-09-15T16:59:05.846127+08:00,COMPLETE,145.437,145.437,253.744070792,0.5731641316624819,107.186,58.78410298721002,0.6275836272004246,0.9199999999684902,0.051936296884865986,0.06854890605976839,2,0.009395427036048086,0.14367419481277466,-0.013309345580637455,0.0330523884296417,0,0,0
20260915_170828_001,2026-09-15T17:08:28.919616+08:00,COMPLETE,247.52900000000002,247.52900000000002,448.679272281,0.5516836085197556,211.09500000000003,102.2514006498716,0.6035936387718427,1.120747648974217,0.04782235427945359,0.06052230870598616,2,0.00018032111631244296,0.159256249666214,-0.013605371117591858,0.03173497676849363,0,0,0
20260916_051433_001,2026-09-16T05:14:33.175082+08:00,TIMEOUT,300.08000000000004,300.08000000000004,455.58275706700005,0.6586728653469844,152.29000000000002,108.83095660994779,0.6168174977751316,0.7618726556989683,0.03952772583789514,0.04899138864214072,0,0.0,0.22749866545200348,0.0,1.7992381191253661,0,0,0
